database,split,wav_path,duration,text,speaker,sex,emotion,lang
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_fearful_445.wav,5.59,그러나 노사관계의 안정은 절대적인 과제다.,ketts2-40m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_sad_445.wav,5.152,그러나 노사관계의 안정은 절대적인 과제다.,ketts2-40m,m,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_disgusted_455.wav,5.251,정치가로서 해서는 안 될 행동을 한 그는 비난받아 마땅하다.,ketts2-60f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_angry_270.wav,10.684,전두환 전 대통령은 하산 전야인 이십구일 밤늦게 자리에 들었다 측근 등과 그 동안을 회고하고 마음을 정리하며 시간을 보냈다고 한다.,ketts2-40m,m,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_angry_211.wav,3.715,이번 백화점 세일 때 살 목록을 적어두었어.,ketts2-30f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_disgusted_342.wav,4.458,야채는 삶아서 조리하는 것이 영양분 파괴가 가장 적다.,ketts2-30f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_angry_471.wav,3.605,우리집 개와 고양이는 사이가 좋다.,ketts2-60f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_neutral_262.wav,4.58,미안하다는 말은 전화보다 직접 만나서 하는 편이 더 좋다.,ketts2-50m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_happy_001.wav,4.458,잃어버린 서류가방을 동료가 찾아주었다.,ketts2-30f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_angry_099.wav,4.02,나는 고흐의 그림중에 해바라기를 가장 좋아한다.,ketts2-50m,m,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_angry_037.wav,4.776,현재 사우디내 쿠웨이트군의 병력과 사기는 어떤가.,ketts2-50f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_neutral_447.wav,3.715,우리는 보수란 말의 이미지가 나빠져 있지요.,ketts2-30f,w,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_happy_386.wav,10.392,현대그룹이 국민경제에 끼치는 영향과 현대중공업의 공권력투입이 사회불안 요인으로 작용하고 있는데.,ketts2-50f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_disgusted_434.wav,5.21,파티에 참석하고 싶지만 일이 너무 밀려 있어 안될 것 같아요.,ketts2-50m,m,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_angry_125.wav,5.542000000000002,부모님의 체면 때문에 할 수 없이 마지못해 선을 나갔다.,ketts2-20m,m,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_sad_199.wav,6.36,지난해 방소 때와는 상당히 다른 의미를 가질 것이다.,ketts2-50f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_sad_065.wav,7.104,또 병기나 화력도 제대로 갖추어져 있지 않았다.,ketts2-50f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_angry_103.wav,2.91,니가 웬일로 청바지를 입었어.,ketts2-50m,m,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_neutral_186.wav,4.458,유럽에서 지난 몇 달 동안 화산 폭발이 수차례 있었다.,ketts2-30f,w,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_neutral_122.wav,6.687,일호선 구간의 화장실 문제는 지금 당장 손을 쓰지 않으면 안 된다고 촉구했다.,ketts2-30f,w,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_surprised_264.wav,7.262,이씨와의 전화인터뷰를 통해 쿠웨이트에 남아 있는 교민들의 현황과 탈출경로등을 들어봤다.,ketts2-60f,w,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_fearful_431.wav,8.673,인도에서의 한국학은 자생적으로 일어났고 지금도 전혀 한국 측으로부터 지원을 받고 있지 않습니다.,ketts2-60f,w,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_sad_380.wav,5.007,사실 우리군은 정신무장이 되어 있지 않았다.,ketts2-40m,m,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_sad_257.wav,6.582999999999998,네가 어질러 놓은 장난감은 네가 치워.,ketts2-50f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_disgusted_407.wav,4.458,어젯밤 심한 위경련으로 응급실에 실려갔다.,ketts2-30f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_surprised_064.wav,5.956,천만원의 상금이 걸린 이 대회의 일등이 자신이길 모두 기대하고 있다.,ketts2-60f,w,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_angry_462.wav,4.872,압구정에서 우연히 고등학교때 선배와 마주쳤다.,ketts2-40m,m,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_angry_103.wav,2.972,니가 웬일로 청바지를 입었어.,ketts2-30f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_disgusted_177.wav,5.1770000000000005,컴퓨터 오락은 해도 해도 질리지 않는다.,ketts2-20m,m,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_angry_074.wav,10.815,백 오십억마르크의 돈을 예상수요 종류별로 새로 찍어 동독전역에 수송 교환하는 엄청난 작업에 걸린 시일과 투입인원은 어느 정도였는가.,ketts2-60f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_fearful_410.wav,8.92,근시는 가까운 것은 잘 보이지만 먼 것은 잘 보이지 않는 것을 말한다.,ketts2-40m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_sad_011.wav,6.12,오래 서서 일했더니 발에 굳은살이 생겼다.,ketts2-50f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_surprised_012.wav,10.104,그리고 공동상점등 가능한 모든 분야에 걸쳐 한국과의 합작 투자를 희망하고 있습니다.,ketts2-50f,w,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_angry_233.wav,6.91,우리 증권시장을 이런 측면에서 관찰하면 너무도 전근대적이고 허점 투성이처럼 보인다.,ketts2-50m,m,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_happy_173.wav,4.2,길에서 우연히 초등학교때 선생님을 만났다.,ketts2-50f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_disgusted_110.wav,4.824,밀레의 그림을 보고 있자 큰 감흥이 솟아났다.,ketts2-50f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_fearful_086.wav,3.79,책을 읽을 때 조용하지 않으면 집중이 안 된다.,ketts2-50m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_surprised_198.wav,7.332000000000002,또한 이번 기강쇄신 항목에서 주목되는 것은 기업인과 기업체에 대한 제재부분이다.,ketts2-40m,m,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_fearful_048.wav,4.88,전철에서 휴대폰으로 큰 소리로 통화하는 것은 매너가 아닙니다.,ketts2-50m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_surprised_459.wav,6.21,속편 영화는 전작의 기대치를 만족시키면서 새로운 관객까지 공략해야 한다.,ketts2-50m,m,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_happy_100.wav,5.6160000000000005,연내 한소 국교정상화가 이루어질 수 있게 됐다.,ketts2-50f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_happy_210.wav,4.207,저 녀석 때문에 나까지 선생님 눈 밖에 났어.,ketts2-20m,m,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_fearful_252.wav,5.41,의사의 성의없고 형식적인 진료 태도에 나는 몹시 화가 났다.,ketts2-50m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_surprised_150.wav,2.972,한국엔 성형수술을 한 여성들이 많다.,ketts2-30f,w,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_surprised_144.wav,3.715,이 강좌의 신청 마감은 오늘 다섯시까지입니다.,ketts2-30f,w,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_happy_250.wav,11.079,그는 또 지자제선거를 앞두고 당의 명예를 걸고 선거의 타락과열양상을 철저히 배제 깨끗하고 공명한 선거를 치르겠다고 다짐했다.,ketts2-20m,m,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_happy_116.wav,5.136,?그가 새로 산 스포츠카로 날 드라이브 시켜 주었다.,ketts2-50f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_disgusted_281.wav,4.458,이 영화는 자동차 마니아가 아니면 다소 지루할 수 있다.,ketts2-30f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_angry_500.wav,5.449,지인을 길에서 마주쳤는데 이름이 기억나지 않아 당황했다.,ketts2-20m,m,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_neutral_090.wav,6.22,예전에는 주로 속독으로 책을 읽었으나 요새는 정독으로 읽는다.,ketts2-50m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_fearful_052.wav,5.813,선생님이라 해도 모든 것을 전부 알 수는 없다.,ketts2-20m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_neutral_277.wav,5.1080000000000005,우리 앞에 어떤 가능성도 배제하지 말자.,ketts2-20m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_neutral_351.wav,5.03,펑크록은 젊은이들의 절망과 반항적인 정신을 반영했다.,ketts2-50m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_fearful_472.wav,3.9,내 도움이 필요하면 언제라도 전화해.,ketts2-50m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_neutral_018.wav,9.888,두 손을 맞잡는 것은 러시아에서는 우정을 의미하지만 미국에서는 승리를 의미한다.,ketts2-50f,w,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_happy_228.wav,5.295,나는 공무원 시험 준비를 위해 모든 친구들과 연락을 끊었다.,ketts2-20m,m,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_surprised_196.wav,6.15,한국 측에서 그 동안 외국의 한국학연구지원을 소홀히 한 것은 사실입니다.,ketts2-40m,m,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_neutral_261.wav,8.022,여기다 이번에 선정된 각 그룹별 주력기업들은 재무구조가 아주 나쁘다.,ketts2-40m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_sad_361.wav,6.635,새로 익히고 있는 증권업무도 전혀 낯선 일입니다.,ketts2-60f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_neutral_146.wav,4.9060000000000015,나는 매일 자기전 아이들에게 동화책을 읽어준다.,ketts2-40m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_fearful_404.wav,5.239,합당이니 뭐니 얘기 안했습니다.,ketts2-40m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_fearful_009.wav,7.027,바르셀로나 올림픽에도 남북한 단일팀이 출전할 수 있도록 남북양측이 노력해야겠다.,ketts2-60f,w,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_disgusted_280.wav,5.2010000000000005,이번 일을 계기로 감사원이 새롭게 태어나야 한다는 주장이 많던데요.,ketts2-30f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_angry_293.wav,7.31,상식적으로는 보조금을 사십오에서 오십퍼센트정도 줄이는 수준에서 타협될 가능성도 있다.,ketts2-50m,m,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_surprised_035.wav,3.571,요새도 주판 쓰는 사람이 있네.,ketts2-40m,m,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_happy_373.wav,3.715,나는 첫눈에 반하는 사랑을 믿지 않는다.,ketts2-30f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_happy_473.wav,8.046,신당에 불만을 갖는 일부 세력이 있지만 그들이 요구하는 걸 우리가 다 해 나갈 것이다.,ketts2-60f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_happy_341.wav,4.08,엄마가 만들어주는 애플파이는 아주 맛있다.,ketts2-40m,m,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_neutral_202.wav,8.124,학생들이 뒤에서 별명을 부르는 것을 듣고 교사는 몹시 불쾌해했다.,ketts2-50f,w,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_disgusted_229.wav,11.833,어떤 사람들은 공화당때 박정희대통령이 지역감정을 유발했다고 하지만 그런식으로 원인을 캐올라 가면 이조때까지 올라가야 한다.,ketts2-60f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_angry_179.wav,7.158,노조교사를 해고하는 것은 우리 연맹의 입장에서는 받아들일 수 없는 일이다.,ketts2-60f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_disgusted_394.wav,7.691,경우에 따라서는 우리의 석유수급에 차질이 올 수도 있고 석유가격의 변동이 불가피해질 수도 있다.,ketts2-40m,m,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_happy_099.wav,5.303,나는 고흐의 그림중에 해바라기를 가장 좋아한다.,ketts2-60f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_neutral_297.wav,4.81,부모님은 물론 선생님도 내가 대학에 진학하기를 바라고 있다.,ketts2-50m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_disgusted_402.wav,5.274,할아버지는 담배를 피우며 버스를 기다렸다.,ketts2-20m,m,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_sad_026.wav,8.4,죽을 각오로 노력하면 세상에 불가능한 일이 없다.,ketts2-50f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_disgusted_245.wav,6.322,그는 십년동안 모은 돈을 전부 도박으로 날려버렸다.,ketts2-50f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_happy_189.wav,5.365,그 회사의 도산은 아무도 생각지 못한 것이었다.,ketts2-40m,m,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_surprised_190.wav,9.51,노 대통령의 방일기간 중 일본 티브이들은 팔십팔년 서울 올림픽 때와 맞먹을 정도로 다채로운 프로그램들을 방영했습니다.,ketts2-50m,m,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_disgusted_188.wav,5.171,멀고도 험난한 길이었지만 내 꿈은 마침내 이루어졌다.,ketts2-40m,m,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_neutral_088.wav,6.44,사고로 인해 열차 운행 시각이 모조리 바뀌어 승객들의 혼란을 빚었다.,ketts2-40m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_fearful_305.wav,6.452000000000001,계속 국민들과 함께 있을 것이며 산디니스트들과 함께 있을 것이다.,ketts2-60f,w,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_surprised_191.wav,7.367000000000001,집권 실무 경험만으로 생각해서는 안될 것이다 경험 없는 사람도 섞여 조화를 이루어야 한다.,ketts2-60f,w,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_sad_459.wav,8.808,속편 영화는 전작의 기대치를 만족시키면서 새로운 관객까지 공략해야 한다.,ketts2-50f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_disgusted_355.wav,3.984,이 드레스의 우아함에 나는 완전히 반했다.,ketts2-60f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_fearful_043.wav,5.49,여름에 운전하는 데에는 선글라스가 필수품이죠.,ketts2-20m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_neutral_452.wav,4.458,오늘 당신의 연설은 지금까지 제가 들었던 것 중에 최고에요.,ketts2-30f,w,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_angry_355.wav,3.683,이 드레스의 우아함에 나는 완전히 반했다.,ketts2-60f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_disgusted_315.wav,5.5310000000000015,밭을 매는 것보다 아이를 보는 것이 더 어려운 일이다.,ketts2-40m,m,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_fearful_446.wav,6.8439999999999985,그의 세심한 배려에 나는 그만 감동하고 말았다.,ketts2-40m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_disgusted_227.wav,5.944,이 식당의 음식들은 마치 엄마가 해주는 음식처럼 푸근하고 정겹다.,ketts2-30f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_sad_233.wav,9.482,우리 증권시장을 이런 측면에서 관찰하면 너무도 전근대적이고 허점 투성이처럼 보인다.,ketts2-60f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_happy_167.wav,8.808,사할린 방문은 가고 오는 데 비행기예약 등 삼사일이 소요돼야 하는 형편이어서 힘들 것으로 본다.,ketts2-50f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_happy_218.wav,5.76,팔십년을 기점으로 전체지원액은 오히려 감소하고 있으니까요.,ketts2-50m,m,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_surprised_261.wav,6.51,여기다 이번에 선정된 각 그룹별 주력기업들은 재무구조가 아주 나쁘다.,ketts2-20m,m,surprised,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_happy_446.wav,4.683,그의 세심한 배려에 나는 그만 감동하고 말았다.,ketts2-40m,m,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_happy_368.wav,4.505,주인으로서는 여간 괘씸한 고양이가 아니었다.,ketts2-40m,m,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_angry_142.wav,3.715,주쿠웨이트 한국대사관의 기능은 정상적인가.,ketts2-30f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_neutral_013.wav,5.956,함부로 길에 쓰레기를 버리는 사람이라면 인성을 알만 하다.,ketts2-50f,w,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_neutral_300.wav,4.308,그는 다리를 삐어 절룩거렸다.,ketts2-20m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_happy_115.wav,12.179,앞으로 업주들의 정기적인 모임을 통해 퇴폐영업행위는 자체적으로 규제토록 하고 거리에서의 호객 폭력행위등도 막아 나가겠다는 것이다.,ketts2-40m,m,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_fearful_298.wav,4.61,요새는 줄무늬가 없는 수박이나 네모난 수박도 있다고 한다.,ketts2-50m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_angry_388.wav,4.458,현재 수배상태라 창립준비작업에 어려움이 클텐데.,ketts2-30f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_sad_377.wav,5.277,그는 대기업이 아니면 무시하는 경향이 있다.,ketts2-60f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_sad_493.wav,6.84,그는 역사상에 이름을 남기고 세계를 바꾸고 싶다는 야망을 불태웠다.,ketts2-50f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_neutral_447.wav,6.033,우리는 보수란 말의 이미지가 나빠져 있지요.,ketts2-40m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_neutral_196.wav,8.333,한국 측에서 그 동안 외국의 한국학연구지원을 소홀히 한 것은 사실입니다.,ketts2-60f,w,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_sad_074.wav,14.482,백 오십억마르크의 돈을 예상수요 종류별로 새로 찍어 동독전역에 수송 교환하는 엄청난 작업에 걸린 시일과 투입인원은 어느 정도였는가.,ketts2-20m,m,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_sad_141.wav,5.2,여당이든 야당이든 나는 정치에는 흥미가 없다.,ketts2-50m,m,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_happy_197.wav,8.21,서울 세검정에 있는 원로경제학자 조기준박사댁을 찾아 요즘 세상 돌아가는 이야기를 나누어 본다.,ketts2-50m,m,happy,ko
